DB	DB_Object_ID	DB_Object_Symbol	Qualifier 	GO ID	DB:Reference	Evidence												
SGD	S000004660	AAC1		GO:0006839	PMID:2167309|SGD_REF:S000050955	IGI	SGD:S000000126	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20040226	SGD				
SGD	S000004660	AAC1		GO:0005471	PMID:2167309|SGD_REF:S000050955	IDA		F	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20010213	SGD				
SGD	S000004660	AAC1		GO:0006810	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0813	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	UniProt				
SGD	S000004660	AAC1		GO:0006810	SGD_REF:S000124036	IEA	InterPro:IPR002113	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	InterPro				
SGD	S000004660	AAC1		GO:0055085	SGD_REF:S000124036	IEA	InterPro:IPR002067	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	InterPro				
SGD	S000004660	AAC1		GO:0055085	SGD_REF:S000124036	IEA	InterPro:IPR002113	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	InterPro				
SGD	S000004660	AAC1		GO:0005739	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0496	C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	UniProt				
SGD	S000004660	AAC1		GO:0005739	PMID:24769239|SGD_REF:S000175707	IDA		C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20150803	SGD				
SGD	S000004660	AAC1		GO:0046902	SGD_REF:S000185201	IBA	PANTHER:PTN000640049	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170117	GO_Central				
SGD	S000004660	AAC1		GO:0016021	SGD_REF:S000185201	IBA	PANTHER:PTN000211803	C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170113	GO_Central				
SGD	S000004660	AAC1		GO:0005743	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0999	C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	UniProt				
SGD	S000004660	AAC1		GO:0005743	SGD_REF:S000148671	IEA	UniProtKB-SubCell:SL-0168	C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	UniProt				
SGD	S000004660	AAC1		GO:0016021	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0812	C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	UniProt				
SGD	S000004660	AAC1		GO:0015866	SGD_REF:S000185202	IEA	GO:0005471	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	GOC				
SGD	S000004660	AAC1		GO:0015867	SGD_REF:S000185202	IEA	GO:0005471	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	GOC				
SGD	S000004660	AAC1		GO:0005743	PMID:12740376|SGD_REF:S000073852	IDA		C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20130217	SGD				
SGD	S000004660	AAC1		GO:0005739	PMID:22842922|SGD_REF:S000150401	IDA		C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20130120	SGD				
SGD	S000004660	AAC1		GO:0015886	PMID:18728780|SGD_REF:S000127569	IMP		P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20100308	SGD				
SGD	S000004660	AAC1		GO:0005743	SGD_REF:S000124036	IEA	InterPro:IPR002113	C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	InterPro				
SGD	S000004660	AAC1		GO:0016020	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0472	C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	UniProt				
SGD	S000004660	AAC1		GO:0005215	SGD_REF:S000124036	IEA	InterPro:IPR002113	F	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20170902	InterPro				
SGD	S000004660	AAC1		GO:0016021	PMID:12192589|SGD_REF:S000114049	ISM		C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20110531	SGD				
SGD	S000000289	AAC3		GO:0005471	PMID:2165073|SGD_REF:S000045889	ISA	UniProtKB:P04710	F	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20080416	SGD				
SGD	S000000289	AAC3		GO:0005471	PMID:2165073|SGD_REF:S000045889	ISA	UniProtKB:P18239	F	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20080416	SGD				
SGD	S000000289	AAC3		GO:0005743	PMID:2165073|SGD_REF:S000045889	ISA	UniProtKB:P04710	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20080416	SGD				
SGD	S000000289	AAC3		GO:0005743	PMID:2165073|SGD_REF:S000045889	ISA	UniProtKB:P18239	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20080416	SGD				
SGD	S000000289	AAC3		GO:0016021	PMID:12192589|SGD_REF:S000114049	ISM		C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20110531	SGD				
SGD	S000000289	AAC3		GO:0009061	PMID:2165073|SGD_REF:S000045889	IGI	SGD:S000000126	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20040226	SGD				
SGD	S000000289	AAC3		GO:0009061	PMID:1915842|SGD_REF:S000052497	IGI	SGD:S000000126	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20040226	SGD				
SGD	S000000289	AAC3		GO:0009061	PMID:1915842|SGD_REF:S000052497	IGI	SGD:S000004660	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20040226	SGD				
SGD	S000000289	AAC3		GO:0009061	PMID:2165073|SGD_REF:S000045889	IEP		P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20040226	SGD				
SGD	S000000289	AAC3		GO:0055085	PMID:2165073|SGD_REF:S000045889	ISA	UniProtKB:P04710	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20081210	SGD				
SGD	S000000289	AAC3		GO:0055085	PMID:2165073|SGD_REF:S000045889	ISA	UniProtKB:P18239	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20081210	SGD				
SGD	S000000289	AAC3		GO:0006810	SGD_REF:S000124036	IEA	InterPro:IPR002113	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	InterPro				
SGD	S000000289	AAC3		GO:0055085	SGD_REF:S000124036	IEA	InterPro:IPR002067	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	InterPro				
SGD	S000000289	AAC3		GO:0055085	SGD_REF:S000124036	IEA	InterPro:IPR002113	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	InterPro				
SGD	S000000289	AAC3		GO:0005743	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0999	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	UniProt				
SGD	S000000289	AAC3		GO:0005743	SGD_REF:S000148671	IEA	UniProtKB-SubCell:SL-0168	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	UniProt				
SGD	S000000289	AAC3		GO:0015866	SGD_REF:S000185202	IEA	GO:0005471	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	GOC				
SGD	S000000289	AAC3		GO:0046902	SGD_REF:S000185201	IBA	PANTHER:PTN000640049	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170117	GO_Central				
SGD	S000000289	AAC3		GO:0005739	PMID:16823961|SGD_REF:S000117178	IDA		C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20061212	SGD				
SGD	S000000289	AAC3		GO:0016021	SGD_REF:S000185201	IBA	PANTHER:PTN000211803	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170113	GO_Central				
SGD	S000000289	AAC3		GO:0006810	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0813	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	UniProt				
SGD	S000000289	AAC3		GO:0005739	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0496	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	UniProt				
SGD	S000000289	AAC3		GO:0016021	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0812	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	UniProt				
SGD	S000000289	AAC3		GO:0016020	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0472	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	UniProt				
SGD	S000000289	AAC3		GO:0005743	SGD_REF:S000185201	IBA	PANTHER:PTN000211803	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170117	GO_Central				
SGD	S000000289	AAC3		GO:0005743	SGD_REF:S000124036	IEA	InterPro:IPR002113	C	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	InterPro				
SGD	S000000289	AAC3		GO:0015886	PMID:18728780|SGD_REF:S000127569	IMP		P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20100308	SGD				
SGD	S000000289	AAC3		GO:0005471	SGD_REF:S000185201	IBA	PANTHER:PTN000640049	F	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170117	GO_Central				
SGD	S000000289	AAC3		GO:0005215	SGD_REF:S000124036	IEA	InterPro:IPR002113	F	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	InterPro				
SGD	S000000289	AAC3		GO:0015867	SGD_REF:S000185202	IEA	GO:0005471	P	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ADP/ATP carrier protein AAC3|ANC3	gene	taxon:559292	20170902	GOC				
SGD	S000003916	AAD10		GO:0016491	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	F	Putative aryl-alcohol dehydrogenase	YJR155W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000003916	AAD10		GO:0055114	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	P	Putative aryl-alcohol dehydrogenase	YJR155W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000003916	AAD10		GO:0006081	PMID:10572264|SGD_REF:S000042151	ISS		P	Putative aryl-alcohol dehydrogenase	YJR155W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000003916	AAD10		GO:0018456	PMID:10572264|SGD_REF:S000042151	ISS		F	Putative aryl-alcohol dehydrogenase	YJR155W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000003916	AAD10		GO:0005575	SGD_REF:S000069584	ND		C	Putative aryl-alcohol dehydrogenase	YJR155W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20010119	SGD				
SGD	S000005275	AAD14		GO:0006081	PMID:10572264|SGD_REF:S000042151	ISS		P	Putative aryl-alcohol dehydrogenase	YNL331C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000005275	AAD14		GO:0016491	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	F	Putative aryl-alcohol dehydrogenase	YNL331C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000005275	AAD14		GO:0055114	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	P	Putative aryl-alcohol dehydrogenase	YNL331C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000005275	AAD14		GO:0018456	PMID:10572264|SGD_REF:S000042151	ISS		F	Putative aryl-alcohol dehydrogenase	YNL331C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000005275	AAD14		GO:0005575	SGD_REF:S000069584	ND		C	Putative aryl-alcohol dehydrogenase	YNL331C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20110420	SGD				
SGD	S000005525	AAD15		GO:0005575	SGD_REF:S000069584	ND		C	Putative aryl-alcohol dehydrogenase	YOL165C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20010119	SGD				
SGD	S000005525	AAD15		GO:0006081	PMID:10572264|SGD_REF:S000042151	ISS		P	Putative aryl-alcohol dehydrogenase	YOL165C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000005525	AAD15		GO:0055114	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	P	Putative aryl-alcohol dehydrogenase	YOL165C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000005525	AAD15		GO:0018456	PMID:10572264|SGD_REF:S000042151	ISS		F	Putative aryl-alcohol dehydrogenase	YOL165C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000005525	AAD15		GO:0016491	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	F	Putative aryl-alcohol dehydrogenase	YOL165C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000000704	AAD3		GO:0005575	SGD_REF:S000069584	ND		C	Putative aryl-alcohol dehydrogenase	YCR107W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20010119	SGD				
SGD	S000000704	AAD3		GO:0006081	PMID:10572264|SGD_REF:S000042151	ISS		P	Putative aryl-alcohol dehydrogenase	YCR107W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000000704	AAD3		GO:0018456	PMID:10572264|SGD_REF:S000042151	ISS		F	Putative aryl-alcohol dehydrogenase	YCR107W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000000704	AAD3		GO:0016491	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	F	Putative aryl-alcohol dehydrogenase	YCR107W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000000704	AAD3		GO:0055114	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	P	Putative aryl-alcohol dehydrogenase	YCR107W|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000002402	AAD4		GO:0016491	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	F	Putative aryl-alcohol dehydrogenase	YDL243C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000002402	AAD4		GO:0005575	SGD_REF:S000069584	ND		C	Putative aryl-alcohol dehydrogenase	YDL243C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20010119	SGD				
SGD	S000002402	AAD4		GO:0055114	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	P	Putative aryl-alcohol dehydrogenase	YDL243C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000002402	AAD4		GO:0006081	PMID:10572264|SGD_REF:S000042151	ISS		P	Putative aryl-alcohol dehydrogenase	YDL243C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000002402	AAD4		GO:0018456	PMID:10572264|SGD_REF:S000042151	ISS		F	Putative aryl-alcohol dehydrogenase	YDL243C|putative aryl-alcohol dehydrogenase	gene	taxon:559292	20020902	SGD				
SGD	S000001838	AAD6		GO:0005575	SGD_REF:S000069584	ND		C	Putative aryl-alcohol dehydrogenase	YFL056C|YFL057C	gene	taxon:559292	20010119	SGD				
SGD	S000001838	AAD6		GO:0016491	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	F	Putative aryl-alcohol dehydrogenase	YFL056C|YFL057C	gene	taxon:559292	20170902	UniProt				
SGD	S000001838	AAD6		GO:0006081	PMID:10572264|SGD_REF:S000042151	ISS		P	Putative aryl-alcohol dehydrogenase	YFL056C|YFL057C	gene	taxon:559292	20020902	SGD				
SGD	S000001838	AAD6		GO:0018456	PMID:10572264|SGD_REF:S000042151	ISS		F	Putative aryl-alcohol dehydrogenase	YFL056C|YFL057C	gene	taxon:559292	20020902	SGD				
SGD	S000001838	AAD6		GO:0055114	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	P	Putative aryl-alcohol dehydrogenase	YFL056C|YFL057C	gene	taxon:559292	20170902	UniProt				
SGD	S000005085	AAH1		GO:0000034	PMID:1577682|SGD_REF:S000056569	IDA		F	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20080417	SGD				
SGD	S000005085	AAH1		GO:0000034	SGD_REF:S000124037	IEA	EC:3.5.4.2	F	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	UniProt				
SGD	S000005085	AAH1		GO:0006146	PMID:1577682|SGD_REF:S000056569	IDA		P	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20080417	SGD				
SGD	S000005085	AAH1		GO:0006146	PMID:1577682|SGD_REF:S000056569	IMP		P	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20080417	SGD				
SGD	S000005085	AAH1		GO:0043101	PMID:1577682|SGD_REF:S000056569	IDA		P	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20080417	SGD				
SGD	S000005085	AAH1		GO:0005737	PMID:14562095|SGD_REF:S000074185	IDA		C	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20031028	SGD				
SGD	S000005085	AAH1		GO:0005634	PMID:14562095|SGD_REF:S000074185	IDA		C	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20031028	SGD				
SGD	S000005085	AAH1		GO:0043101	PMID:1577682|SGD_REF:S000056569	IMP		P	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20080417	SGD				
SGD	S000005085	AAH1		GO:0043103	PMID:1577682|SGD_REF:S000056569	IDA		P	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20080417	SGD				
SGD	S000005085	AAH1		GO:0043103	PMID:1577682|SGD_REF:S000056569	IMP		P	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20080417	SGD				
SGD	S000005085	AAH1		GO:0046872	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0479	F	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	UniProt				
SGD	S000005085	AAH1		GO:0005737	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0963	C	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	UniProt				
SGD	S000005085	AAH1		GO:0005737	SGD_REF:S000148671	IEA	UniProtKB-SubCell:SL-0086	C	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	UniProt				
SGD	S000005085	AAH1		GO:0019239	SGD_REF:S000124036	IEA	InterPro:IPR001365	F	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	InterPro				
SGD	S000005085	AAH1		GO:0019239	SGD_REF:S000124036	IEA	InterPro:IPR006330	F	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	InterPro				
SGD	S000005085	AAH1		GO:0019239	SGD_REF:S000124036	IEA	InterPro:IPR006650	F	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	InterPro				
SGD	S000005085	AAH1		GO:0000034	SGD_REF:S000124036	IEA	InterPro:IPR028892	F	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	InterPro				
SGD	S000005085	AAH1		GO:0006146	SGD_REF:S000124036	IEA	InterPro:IPR028892	P	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	InterPro				
SGD	S000005085	AAH1		GO:0009168	SGD_REF:S000124036	IEA	InterPro:IPR006650	P	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	InterPro				
SGD	S000005085	AAH1		GO:0016787	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0378	F	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	UniProt				
SGD	S000005085	AAH1		GO:0009117	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0546	P	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	UniProt				
SGD	S000005085	AAH1		GO:0005634	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0539	C	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	UniProt				
SGD	S000005085	AAH1		GO:0005634	SGD_REF:S000148671	IEA	UniProtKB-SubCell:SL-0191	C	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20170902	UniProt				
SGD	S000005085	AAH1		GO:0000034	PMID:1577682|SGD_REF:S000056569	IMP		F	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	gene	taxon:559292	20080417	SGD				
SGD	S000001089	AAP1		GO:0005737	PMID:14562095|SGD_REF:S000074185	IDA		C	Arginine/alanine amino peptidase	YHR047C|AAP1'|arginine/alanine aminopeptidase	gene	taxon:559292	20031028	SGD				
SGD	S000001089	AAP1		GO:0006508	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0645	P	Arginine/alanine amino peptidase	YHR047C|AAP1'|arginine/alanine aminopeptidase	gene	taxon:559292	20170902	UniProt				
SGD	S000001089	AAP1		GO:0004177	PMID:8100228|SGD_REF:S000050813	ISS		F	Arginine/alanine amino peptidase	YHR047C|AAP1'|arginine/alanine aminopeptidase	gene	taxon:559292	20010118	SGD				
SGD	S000001089	AAP1		GO:0004177	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0031	F	Arginine/alanine amino peptidase	YHR047C|AAP1'|arginine/alanine aminopeptidase	gene	taxon:559292	20170902	UniProt				
